                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69442,                0.54297,                0.93022,                0.96796,                0.93796,                0.94456,                0.77937,                0.73008,                0.56196,                0.97177,             0.00051177,             0.00051177,             0.00051177
                     37,                0.70407,                0.53831,                0.91509,                0.97114,                0.93092,                0.94427,                0.77972,                0.72814,                0.56465,                 0.9729,             0.00047876,             0.00047876,             0.00047876
                     38,                0.68931,                0.53552,                0.93244,                0.97093,                0.92966,                 0.9441,                0.78329,                0.73821,                0.56576,                0.97571,             0.00044576,             0.00044576,             0.00044576
                     39,                0.69227,                0.52475,                0.92689,                0.97021,                0.93085,                0.94399,                0.78501,                0.72998,                0.56386,                 0.9727,             0.00041275,             0.00041275,             0.00041275
                     40,                 0.6978,                0.51451,                 0.9349,                0.97161,                0.93155,                0.94376,                0.78116,                0.71046,                0.55832,                0.96129,             0.00037974,             0.00037974,             0.00037974
                     41,                0.69962,                0.51184,                0.92221,                0.97308,                0.93042,                0.94411,                0.78536,                0.71619,                0.56057,                0.96151,             0.00034674,             0.00034674,             0.00034674
                     42,                0.67882,                0.50562,                 0.9192,                0.97208,                 0.9344,                0.94432,                 0.7848,                0.72534,                0.55875,                0.96432,             0.00031373,             0.00031373,             0.00031373
                     43,                0.69564,                0.51165,                 0.9103,                0.97042,                 0.9344,                0.94488,                0.78169,                0.72787,                0.55585,                0.96651,             0.00028072,             0.00028072,             0.00028072
                     44,                0.67196,                0.49919,                 0.9039,                0.97205,                 0.9344,                0.94547,                0.78032,                0.72301,                0.54498,                0.96584,             0.00024772,             0.00024772,             0.00024772
                     45,                0.66589,                0.50379,                0.90559,                0.97332,                 0.9344,                0.94578,                0.78993,                 0.7164,                0.53662,                0.96216,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.6746,                0.50072,                0.92326,                0.97297,                0.93246,                0.94587,                0.77982,                0.71201,                0.53466,                0.96013,              0.0001817,              0.0001817,              0.0001817
                     47,                0.66459,                0.50362,                0.90505,                0.97371,                0.93234,                0.94564,                0.78137,                0.71088,                0.53349,                0.95968,              0.0001487,              0.0001487,              0.0001487
                     48,                0.66782,                0.49346,                0.90117,                0.97442,                0.93247,                0.94514,                0.78748,                0.70979,                0.52757,                0.95922,             0.00011569,             0.00011569,             0.00011569
                     49,                0.68055,                0.50239,                0.93247,                0.97366,                 0.9337,                0.94497,                0.79132,                0.70847,                0.52436,                0.95959,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.66882,                0.49569,                 0.9118,                0.97376,                 0.9344,                0.94492,                 0.7898,                 0.7062,                0.52206,                 0.9591,             4.9677e-05,             4.9677e-05,             4.9677e-05
